;id;rank;title;fullTitle;year;image;crew;imDbRating;imDbRatingCount
69;tt1345836;70;The Dark Knight Rises;The Dark Knight Rises (2012);2012;https://m.media-amazon.com/images/M/MV5BMTk4ODQzNDY3Ml5BMl5BanBnXkFtZTcwODA0NTM4Nw@@._V1_UX128_CR0,12,128,176_AL_.jpg;Christopher Nolan (dir.), Christian Bale, Tom Hardy;8.3;1674166
70;tt0364569;71;Oldboy;Oldboy (2003);2003;https://m.media-amazon.com/images/M/MV5BMTI3NTQyMzU5M15BMl5BanBnXkFtZTcwMTM2MjgyMQ@@._V1_UX128_CR0,12,128,176_AL_.jpg;Park Chan-wook (dir.), Choi Min-sik, Yoo Ji-tae;8.3;569074
71;tt7286456;72;Joker;Joker (2019);2019;https://m.media-amazon.com/images/M/MV5BNGVjNWI4ZGUtNzE0MS00YTJmLWE0ZDctN2ZiYTk2YmI3NTYyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX128_CR0,12,128,176_AL_.jpg;Todd Phillips (dir.), Joaquin Phoenix, Robert De Niro;8.3;1226197
72;tt0086879;73;Amadeus;Amadeus (1984);1984;https://m.media-amazon.com/images/M/MV5BNWJlNzUzNGMtYTAwMS00ZjI2LWFmNWQtODcxNWUxODA5YmU1XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UX128_CR0,12,128,176_AL_.jpg;Milos Forman (dir.), F. Murray Abraham, Tom Hulce;8.3;397136
73;tt0112573;74;Braveheart;Braveheart (1995);1995;https://m.media-amazon.com/images/M/MV5BMzkzMmU0YTYtOWM3My00YzBmLWI0YzctOGYyNTkwMWE5MTJkXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX128_CR0,12,128,176_AL_.jpg;Mel Gibson (dir.), Mel Gibson, Sophie Marceau;8.3;1025673
74;tt0114709;75;Toy Story;Toy Story (1995);1995;https://m.media-amazon.com/images/M/MV5BMDU2ZWJlMjktMTRhMy00ZTA5LWEzNDgtYmNmZTEwZTViZWJkXkEyXkFqcGdeQXVyNDQ2OTk4MzI@._V1_UX128_CR0,12,128,176_AL_.jpg;John Lasseter (dir.), Tom Hanks, Tim Allen;8.3;977789
75;tt2380307;76;Coco;Coco (2017);2017;https://m.media-amazon.com/images/M/MV5BYjQ5NjM0Y2YtNjZkNC00ZDhkLWJjMWItN2QyNzFkMDE3ZjAxXkEyXkFqcGdeQXVyODIxMzk5NjA@._V1_UX128_CR0,12,128,176_AL_.jpg;Lee Unkrich (dir.), Anthony Gonzalez, Gael García Bernal;8.3;489999
76;tt0082096;77;The Boat;The Boat (1981);1981;https://m.media-amazon.com/images/M/MV5BNDBjMWUxNTUtNjZiNi00YzJhLTgzNzUtMTRiY2FkZmMzYTNjXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_UX128_CR0,12,128,176_AL_.jpg;Wolfgang Petersen (dir.), Jürgen Prochnow, Herbert Grönemeyer;8.3;249017
77;tt0361748;78;Inglourious Basterds;Inglourious Basterds (2009);2009;https://m.media-amazon.com/images/M/MV5BOTJiNDEzOWYtMTVjOC00ZjlmLWE0NGMtZmE1OWVmZDQ2OWJhXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UX128_CR0,12,128,176_AL_.jpg;Quentin Tarantino (dir.), Brad Pitt, Diane Kruger;8.3;1415743
78;tt0119698;79;Princess Mononoke;Princess Mononoke (1997);1997;https://m.media-amazon.com/images/M/MV5BNGIzY2IzODQtNThmMi00ZDE4LWI5YzAtNzNlZTM1ZjYyYjUyXkEyXkFqcGdeQXVyODEzNjM5OTQ@._V1_UX128_CR0,12,128,176_AL_.jpg;Hayao Miyazaki (dir.), Yôji Matsuda, Yuriko Ishida;8.3;387936
79;tt4154796;80;Avengers: Endgame;Avengers: Endgame (2019);2019;https://m.media-amazon.com/images/M/MV5BMTc5MDE2ODcwNV5BMl5BanBnXkFtZTgwMzI2NzQ2NzM@._V1_UX128_CR0,12,128,176_AL_.jpg;Anthony Russo (dir.), Robert Downey Jr., Chris Evans;8.3;1087146
80;tt0087843;81;Once Upon a Time in America;Once Upon a Time in America (1984);1984;https://m.media-amazon.com/images/M/MV5BMGFkNWI4MTMtNGQ0OC00MWVmLTk3MTktOGYxN2Y2YWVkZWE2XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX128_CR0,12,128,176_AL_.jpg;Sergio Leone (dir.), Robert De Niro, James Woods;8.3;347447
81;tt0119217;82;Good Will Hunting;Good Will Hunting (1997);1997;https://m.media-amazon.com/images/M/MV5BOTI0MzcxMTYtZDVkMy00NjY1LTgyMTYtZmUxN2M3NmQ2NWJhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX128_CR0,12,128,176_AL_.jpg;Gus Van Sant (dir.), Robin Williams, Matt Damon;8.3;949770
82;tt5311514;83;Your Name.;Your Name. (2016);2016;https://m.media-amazon.com/images/M/MV5BODRmZDVmNzUtZDA4ZC00NjhkLWI2M2UtN2M0ZDIzNDcxYThjL2ltYWdlXkEyXkFqcGdeQXVyNTk0MzMzODA@._V1_UX128_CR0,12,128,176_AL_.jpg;Makoto Shinkai (dir.), Ryûnosuke Kamiki, Mone Kamishiraishi;8.3;258601
83;tt0435761;84;Toy Story 3;Toy Story 3 (2010);2010;https://m.media-amazon.com/images/M/MV5BMTgxOTY4Mjc0MF5BMl5BanBnXkFtZTcwNTA4MDQyMw@@._V1_UX128_CR0,12,128,176_AL_.jpg;Lee Unkrich (dir.), Tom Hanks, Tim Allen;8.3;824541
84;tt0180093;85;Requiem for a Dream;Requiem for a Dream (2000);2000;https://m.media-amazon.com/images/M/MV5BOTdiNzJlOWUtNWMwNS00NmFlLWI0YTEtZmI3YjIzZWUyY2Y3XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX128_CR0,12,128,176_AL_.jpg;Darren Aronofsky (dir.), Ellen Burstyn, Jared Leto;8.3;829937
85;tt0045152;86;Singin' in the Rain;Singin' in the Rain (1952);1952;https://m.media-amazon.com/images/M/MV5BZDRjNGViMjQtOThlMi00MTA3LThkYzQtNzJkYjBkMGE0YzE1XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_UX128_CR0,12,128,176_AL_.jpg;Stanley Donen (dir.), Gene Kelly, Donald O'Connor;8.3;239921
86;tt1187043;87;3 Idiots;3 Idiots (2009);2009;https://m.media-amazon.com/images/M/MV5BNTkyOGVjMGEtNmQzZi00NzFlLTlhOWQtODYyMDc2ZGJmYzFhXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX128_CR0,12,128,176_AL_.jpg;Rajkumar Hirani (dir.), Aamir Khan, Madhavan;8.3;392295
87;tt0086190;88;Star Wars: Episode VI - Return of the Jedi;Star Wars: Episode VI - Return of the Jedi (1983);1983;https://m.media-amazon.com/images/M/MV5BOWZlMjFiYzgtMTUzNC00Y2IzLTk1NTMtZmNhMTczNTk0ODk1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX128_CR0,12,128,176_AL_.jpg;Richard Marquand (dir.), Mark Hamill, Harrison Ford;8.3;1036964
88;tt0057565;89;High and Low;High and Low (1963);1963;https://m.media-amazon.com/images/M/MV5BOTI4NTNhZDMtMWNkZi00MTRmLWJmZDQtMmJkMGVmZTEzODlhXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX128_CR0,12,128,176_AL_.jpg;Akira Kurosawa (dir.), Toshirô Mifune, Yutaka Sada;8.3;44042
89;tt0062622;90;2001: A Space Odyssey;2001: A Space Odyssey (1968);1968;https://m.media-amazon.com/images/M/MV5BMmNlYzRiNDctZWNhMi00MzI4LThkZTctMTUzMmZkMmFmNThmXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX128_CR0,12,128,176_AL_.jpg;Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood;8.3;659047
90;tt0338013;91;Eternal Sunshine of the Spotless Mind;Eternal Sunshine of the Spotless Mind (2004);2004;https://m.media-amazon.com/images/M/MV5BMTY4NzcwODg3Nl5BMl5BanBnXkFtZTcwNTEwOTMyMw@@._V1_UX128_CR0,12,128,176_AL_.jpg;Michel Gondry (dir.), Jim Carrey, Kate Winslet;8.3;991908
91;tt0105236;92;Reservoir Dogs;Reservoir Dogs (1992);1992;https://m.media-amazon.com/images/M/MV5BZmExNmEwYWItYmQzOS00YjA5LTk2MjktZjEyZDE1Y2QxNjA1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX128_CR0,12,128,176_AL_.jpg;Quentin Tarantino (dir.), Harvey Keitel, Tim Roth;8.3;1001619
92;tt8267604;93;Capernaum;Capernaum (2018);2018;https://m.media-amazon.com/images/M/MV5BY2Y3OWNkMTctYzNjYS00NWVkLTg4OWEtY2YxN2I3NDhlYzE0XkEyXkFqcGdeQXVyMTI3ODAyMzE2._V1_UX128_CR0,12,128,176_AL_.jpg;Nadine Labaki (dir.), Zain Al Rafeea, Yordanos Shiferaw;8.3;87113
93;tt0056172;94;Lawrence of Arabia;Lawrence of Arabia (1962);1962;https://m.media-amazon.com/images/M/MV5BYWY5ZjhjNGYtZmI2Ny00ODM0LWFkNzgtZmI1YzA2N2MxMzA0XkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_UX128_CR0,12,128,176_AL_.jpg;David Lean (dir.), Peter O'Toole, Alec Guinness;8.3;290887
94;tt0033467;95;Citizen Kane;Citizen Kane (1941);1941;https://m.media-amazon.com/images/M/MV5BYjBiOTYxZWItMzdiZi00NjlkLWIzZTYtYmFhZjhiMTljOTdkXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX128_CR0,12,128,176_AL_.jpg;Orson Welles (dir.), Orson Welles, Joseph Cotten;8.3;438064
95;tt2106476;96;The Hunt;The Hunt (2012);2012;https://m.media-amazon.com/images/M/MV5BMTg2NDg3ODg4NF5BMl5BanBnXkFtZTcwNzk3NTc3Nw@@._V1_UX128_CR0,12,128,176_AL_.jpg;Thomas Vinterberg (dir.), Mads Mikkelsen, Thomas Bo Larsen;8.3;324211
96;tt0022100;97;M;M (1931);1931;https://m.media-amazon.com/images/M/MV5BODA4ODk3OTEzMF5BMl5BanBnXkFtZTgwMTQ2ODMwMzE@._V1_UX128_CR0,12,128,176_AL_.jpg;Fritz Lang (dir.), Peter Lorre, Ellen Widmann;8.3;156713
97;tt0053125;98;North by Northwest;North by Northwest (1959);1959;https://m.media-amazon.com/images/M/MV5BZDA3NDExMTUtMDlhOC00MmQ5LWExZGUtYmI1NGVlZWI4OWNiXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX128_CR0,12,128,176_AL_.jpg;Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint;8.3;324684
98;tt0052357;99;Vertigo;Vertigo (1958);1958;https://m.media-amazon.com/images/M/MV5BYTE4ODEwZDUtNDFjOC00NjAxLWEzYTQtYTI1NGVmZmFlNjdiL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX128_CR0,12,128,176_AL_.jpg;Alfred Hitchcock (dir.), James Stewart, Kim Novak;8.2;398052
99;tt0091251;100;Come and See;Come and See (1985);1985;https://m.media-amazon.com/images/M/MV5BODM4Njg0NTAtYjI5Ny00ZjAxLTkwNmItZTMxMWU5M2U3M2RjXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX128_CR0,12,128,176_AL_.jpg;Elem Klimov (dir.), Aleksey Kravchenko, Olga Mironova;8.2;77213
100;tt0211915;101;Amélie;Amélie (2001);2001;https://m.media-amazon.com/images/M/MV5BNDg4NjM1YjMtYmNhZC00MjM0LWFiZmYtNGY1YjA3MzZmODc5XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UX128_CR0,12,128,176_AL_.jpg;Jean-Pierre Jeunet (dir.), Audrey Tautou, Mathieu Kassovitz;8.2;749170
101;tt0066921;102;A Clockwork Orange;A Clockwork Orange (1971);1971;https://m.media-amazon.com/images/M/MV5BMTY3MjM1Mzc4N15BMl5BanBnXkFtZTgwODM0NzAxMDE@._V1_UX128_CR0,12,128,176_AL_.jpg;Stanley Kubrick (dir.), Malcolm McDowell, Patrick Magee;8.2;818210
102;tt0036775;103;Double Indemnity;Double Indemnity (1944);1944;https://m.media-amazon.com/images/M/MV5BOTdlNjgyZGUtOTczYi00MDdhLTljZmMtYTEwZmRiOWFkYjRhXkEyXkFqcGdeQXVyNDY2MTk1ODk@._V1_UX128_CR0,12,128,176_AL_.jpg;Billy Wilder (dir.), Fred MacMurray, Barbara Stanwyck;8.2;155984
103;tt0093058;104;Full Metal Jacket;Full Metal Jacket (1987);1987;https://m.media-amazon.com/images/M/MV5BNzkxODk0NjEtYjc4Mi00ZDI0LTgyYjEtYzc1NDkxY2YzYTgyXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX128_CR0,12,128,176_AL_.jpg;Stanley Kubrick (dir.), Matthew Modine, R. Lee Ermey;8.2;732405
104;tt0053604;105;The Apartment;The Apartment (1960);1960;https://m.media-amazon.com/images/M/MV5BNzkwODFjNzItMmMwNi00MTU5LWE2MzktM2M4ZDczZGM1MmViXkEyXkFqcGdeQXVyNDY2MTk1ODk@._V1_UX128_CR0,12,128,176_AL_.jpg;Billy Wilder (dir.), Jack Lemmon, Shirley MacLaine;8.2;179975
105;tt0086250;106;Scarface;Scarface (1983);1983;https://m.media-amazon.com/images/M/MV5BNjdjNGQ4NDEtNTEwYS00MTgxLTliYzQtYzE2ZDRiZjFhZmNlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX128_CR0,12,128,176_AL_.jpg;Brian De Palma (dir.), Al Pacino, Michelle Pfeiffer;8.2;823062
106;tt0044741;107;Ikiru;Ikiru (1952);1952;https://m.media-amazon.com/images/M/MV5BZTdkN2E5OTYtN2FiMi00YWUwLWEzMGMtZTMzNjY0NjgzYzFiXkEyXkFqcGdeQXVyMTI3ODAyMzE2._V1_UX128_CR0,12,128,176_AL_.jpg;Akira Kurosawa (dir.), Takashi Shimura, Nobuo Kaneko;8.2;77678
107;tt0070735;108;The Sting;The Sting (1973);1973;https://m.media-amazon.com/images/M/MV5BNGU3NjQ4YTMtZGJjOS00YTQ3LThmNmItMTI5MDE2ODI3NzY3XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX128_CR0,12,128,176_AL_.jpg;George Roy Hill (dir.), Paul Newman, Robert Redford;8.2;259699
108;tt0056592;109;To Kill a Mockingbird;To Kill a Mockingbird (1962);1962;https://m.media-amazon.com/images/M/MV5BNmVmYzcwNzMtMWM1NS00MWIyLThlMDEtYzUwZDgzODE1NmE2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX128_CR0,12,128,176_AL_.jpg;Robert Mulligan (dir.), Gregory Peck, John Megna;8.2;314202
109;tt0075314;110;Taxi Driver;Taxi Driver (1976);1976;https://m.media-amazon.com/images/M/MV5BM2M1MmVhNDgtNmI0YS00ZDNmLTkyNjctNTJiYTQ2N2NmYzc2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX128_CR0,12,128,176_AL_.jpg;Martin Scorsese (dir.), Robert De Niro, Jodie Foster;8.2;812300
110;tt1049413;111;Up;Up (2009);2009;https://m.media-amazon.com/images/M/MV5BMTk3NDE2NzI4NF5BMl5BanBnXkFtZTgwNzE1MzEyMTE@._V1_UX128_CR0,12,128,176_AL_.jpg;Pete Docter (dir.), Edward Asner, Jordan Nagai;8.2;1027152
111;tt0113277;112;Heat;Heat (1995);1995;https://m.media-amazon.com/images/M/MV5BYjZjNTJlZGUtZTE1Ny00ZDc4LTgwYjUtMzk0NDgwYzZjYTk1XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX128_CR0,12,128,176_AL_.jpg;Michael Mann (dir.), Al Pacino, Robert De Niro;8.2;643575
112;tt0119488;113;L.A. Confidential;L.A. Confidential (1997);1997;https://m.media-amazon.com/images/M/MV5BMDQ2YzEyZGItYWRhOS00MjBmLTkzMDUtMTdjYzkyMmQxZTJlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX128_CR0,12,128,176_AL_.jpg;Curtis Hanson (dir.), Kevin Spacey, Russell Crowe;8.2;577142
113;tt0017136;114;Metropolis;Metropolis (1927);1927;https://m.media-amazon.com/images/M/MV5BMTg5YWIyMWUtZDY5My00Zjc1LTljOTctYmI0MWRmY2M2NmRkXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX128_CR0,12,128,176_AL_.jpg;Fritz Lang (dir.), Brigitte Helm, Alfred Abel;8.2;172943
114;tt1832382;115;A Separation;A Separation (2011);2011;https://m.media-amazon.com/images/M/MV5BN2JmMjViMjMtZTM5Mi00ZGZkLTk5YzctZDg5MjFjZDE4NjNkXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX128_CR0,12,128,176_AL_.jpg;Asghar Farhadi (dir.), Payman Maadi, Leila Hatami;8.2;243428
115;tt1255953;116;Incendies;Incendies (2010);2010;https://m.media-amazon.com/images/M/MV5BMWE3MGYzZjktY2Q5Mi00Y2NiLWIyYWUtMmIyNzA3YmZlMGFhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX128_CR0,12,128,176_AL_.jpg;Denis Villeneuve (dir.), Lubna Azabal, Mélissa Désormeaux-Poulin;8.2;174880
116;tt0095016;117;Die Hard;Die Hard (1988);1988;https://m.media-amazon.com/images/M/MV5BZjRlNDUxZjAtOGQ4OC00OTNlLTgxNmQtYTBmMDgwZmNmNjkxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX128_CR0,12,128,176_AL_.jpg;John McTiernan (dir.), Bruce Willis, Alan Rickman;8.2;865042
117;tt0208092;118;Snatch;Snatch (2000);2000;https://m.media-amazon.com/images/M/MV5BMTA2NDYxOGYtYjU1Mi00Y2QzLTgxMTQtMWI1MGI0ZGQ5MmU4XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UX128_CR0,12,128,176_AL_.jpg;Guy Ritchie (dir.), Jason Statham, Brad Pitt;8.2;844666
118;tt8503618;119;Hamilton;Hamilton (2020);2020;https://m.media-amazon.com/images/M/MV5BNjViNWRjYWEtZTI0NC00N2E3LTk0NGQtMjY4NTM3OGNkZjY0XkEyXkFqcGdeQXVyMjUxMTY3ODM@._V1_UX128_CR0,12,128,176_AL_.jpg;Thomas Kail (dir.), Lin-Manuel Miranda, Phillipa Soo;8.2;90928
119;tt0040522;120;Bicycle Thieves;Bicycle Thieves (1948);1948;https://m.media-amazon.com/images/M/MV5BNmI1ODdjODctMDlmMC00ZWViLWI5MzYtYzRhNDdjYmM3MzFjXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX128_CR0,12,128,176_AL_.jpg;Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola;8.2;162211
120;tt0097576;121;Indiana Jones and the Last Crusade;Indiana Jones and the Last Crusade (1989);1989;https://m.media-amazon.com/images/M/MV5BY2Q0ODg4ZmItNDZiYi00ZWY5LTg2NzctNmYwZjA5OThmNzE1XkEyXkFqcGdeQXVyMjM4MzQ4OTQ@._V1_UX128_CR0,12,128,176_AL_.jpg;Steven Spielberg (dir.), Harrison Ford, Sean Connery;8.2;745319
121;tt8579674;122;1917;1917 (2019);2019;https://m.media-amazon.com/images/M/MV5BOTdmNTFjNDEtNzg0My00ZjkxLTg1ZDAtZTdkMDc2ZmFiNWQ1XkEyXkFqcGdeQXVyNTAzNzgwNTg@._V1_UX128_CR0,12,128,176_AL_.jpg;Sam Mendes (dir.), Dean-Charles Chapman, George MacKay;8.2;565709
122;tt0986264;123;Like Stars on Earth;Like Stars on Earth (2007);2007;https://m.media-amazon.com/images/M/MV5BMDhjZWViN2MtNzgxOS00NmI4LThiZDQtZDI3MzM4MDE4NTc0XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX128_CR0,12,128,176_AL_.jpg;Aamir Khan (dir.), Darsheel Safary, Aamir Khan;8.2;190995
123;tt0363163;124;Downfall;Downfall (2004);2004;https://m.media-amazon.com/images/M/MV5BMTU0NTU5NTAyMl5BMl5BanBnXkFtZTYwNzYwMDg2._V1_UX128_CR0,12,128,176_AL_.jpg;Oliver Hirschbiegel (dir.), Bruno Ganz, Alexandra Maria Lara;8.2;352975
124;tt0059578;125;For a Few Dollars More;For a Few Dollars More (1965);1965;https://m.media-amazon.com/images/M/MV5BMzJlZTNkYjQtMTE1OS00YTJlLTgxNjItYzg4NTllODdkMzBiXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX128_CR0,12,128,176_AL_.jpg;Sergio Leone (dir.), Clint Eastwood, Lee Van Cleef;8.2;254200
125;tt0372784;126;Batman Begins;Batman Begins (2005);2005;https://m.media-amazon.com/images/M/MV5BOTY4YjI2N2MtYmFlMC00ZjcyLTg3YjEtMDQyM2ZjYzQ5YWFkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX128_CR0,12,128,176_AL_.jpg;Christopher Nolan (dir.), Christian Bale, Michael Caine;8.2;1444794
126;tt5074352;127;Dangal;Dangal (2016);2016;https://m.media-amazon.com/images/M/MV5BMTQ4MzQzMzM2Nl5BMl5BanBnXkFtZTgwMTQ1NzU3MDI@._V1_UX128_CR0,12,128,176_AL_.jpg;Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar;8.2;186595
127;tt0012349;128;The Kid;The Kid (1921);1921;https://m.media-amazon.com/images/M/MV5BZjhhMThhNDItNTY2MC00MmU1LTliNDEtNDdhZjdlNTY5ZDQ1XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX128_CR0,12,128,176_AL_.jpg;Charles Chaplin (dir.), Charles Chaplin, Edna Purviance;8.2;125611
128;tt0053291;129;Some Like It Hot;Some Like It Hot (1959);1959;https://m.media-amazon.com/images/M/MV5BNzAyOGIxYjAtMGY2NC00ZTgyLWIwMWEtYzY0OWQ4NDFjOTc5XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX128_CR0,12,128,176_AL_.jpg;Billy Wilder (dir.), Marilyn Monroe, Tony Curtis;8.2;264746
129;tt0042192;130;All About Eve;All About Eve (1950);1950;https://m.media-amazon.com/images/M/MV5BMTY2MTAzODI5NV5BMl5BanBnXkFtZTgwMjM4NzQ0MjE@._V1_UX128_CR0,12,128,176_AL_.jpg;Joseph L. Mankiewicz (dir.), Bette Davis, Anne Baxter;8.2;130626
130;tt10272386;131;The Father;The Father (2020);2020;https://m.media-amazon.com/images/M/MV5BZGJhNWRiOWQtMjI4OS00ZjcxLTgwMTAtMzQ2ODkxY2JkOTVlXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX128_CR0,12,128,176_AL_.jpg;Florian Zeller (dir.), Anthony Hopkins, Olivia Colman;8.2;143517
131;tt10872600;132;Spider-Man: No Way Home;Spider-Man: No Way Home (2021);2021;https://m.media-amazon.com/images/M/MV5BZWMyYzFjYTYtNTRjYi00OGExLWE2YzgtOGRmYjAxZTU3NzBiXkEyXkFqcGdeQXVyMzQ0MzA0NTM@._V1_UX128_CR0,12,128,176_AL_.jpg;Jon Watts (dir.), Tom Holland, Zendaya;8.2;700920
132;tt6966692;133;Green Book;Green Book (2018);2018;https://m.media-amazon.com/images/M/MV5BYzIzYmJlYTYtNGNiYy00N2EwLTk4ZjItMGYyZTJiOTVkM2RlXkEyXkFqcGdeQXVyODY1NDk1NjE@._V1_UX128_CR0,12,128,176_AL_.jpg;Peter Farrelly (dir.), Viggo Mortensen, Mahershala Ali;8.2;474933
133;tt0993846;134;The Wolf of Wall Street;The Wolf of Wall Street (2013);2013;https://m.media-amazon.com/images/M/MV5BMjIxMjgxNTk0MF5BMl5BanBnXkFtZTgwNjIyOTg2MDE@._V1_UX128_CR0,12,128,176_AL_.jpg;Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill;8.2;1367516
134;tt0055031;135;Judgment at Nuremberg;Judgment at Nuremberg (1961);1961;https://m.media-amazon.com/images/M/MV5BNDc2ODQ5NTE2MV5BMl5BanBnXkFtZTcwODExMjUyNA@@._V1_UX128_CR0,12,128,176_AL_.jpg;Stanley Kramer (dir.), Spencer Tracy, Burt Lancaster;8.2;77142
135;tt0089881;136;Ran;Ran (1985);1985;https://m.media-amazon.com/images/M/MV5BMmU1NGYwZWYtOWExNi00ZTEyLTgwMmUtM2ZlMDVjNWM4YjVlXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX128_CR0,12,128,176_AL_.jpg;Akira Kurosawa (dir.), Tatsuya Nakadai, Akira Terao;8.2;124595
136;tt0112641;137;Casino;Casino (1995);1995;https://m.media-amazon.com/images/M/MV5BMTcxOWYzNDYtYmM4YS00N2NkLTk0NTAtNjg1ODgwZjAxYzI3XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UX128_CR0,12,128,176_AL_.jpg;Martin Scorsese (dir.), Robert De Niro, Sharon Stone;8.2;512293
137;tt0105695;138;Unforgiven;Unforgiven (1992);1992;https://m.media-amazon.com/images/M/MV5BODM3YWY4NmQtN2Y3Ni00OTg0LWFhZGQtZWE3ZWY4MTJlOWU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX128_CR0,12,128,176_AL_.jpg;Clint Eastwood (dir.), Clint Eastwood, Gene Hackman;8.2;407941
138;tt0457430;139;Pan's Labyrinth;Pan's Labyrinth (2006);2006;https://m.media-amazon.com/images/M/MV5BYzFjMThiMGItOWRlMC00MDI4LThmOGUtYTNlZGZiYWI1YjMyXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX128_CR0,12,128,176_AL_.jpg;Guillermo del Toro (dir.), Ivana Baquero, Ariadna Gil;8.2;661756
139;tt0469494;140;There Will Be Blood;There Will Be Blood (2007);2007;https://m.media-amazon.com/images/M/MV5BMjAxODQ4MDU5NV5BMl5BanBnXkFtZTcwMDU4MjU1MQ@@._V1_UX128_CR0,12,128,176_AL_.jpg;Paul Thomas Anderson (dir.), Daniel Day-Lewis, Paul Dano;8.2;577595
140;tt0167404;141;The Sixth Sense;The Sixth Sense (1999);1999;https://m.media-amazon.com/images/M/MV5BMWM4NTFhYjctNzUyNi00NGMwLTk3NTYtMDIyNTZmMzRlYmQyXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_UX128_CR0,12,128,176_AL_.jpg;M. Night Shyamalan (dir.), Bruce Willis, Haley Joel Osment;8.2;978915
141;tt0120382;142;The Truman Show;The Truman Show (1998);1998;https://m.media-amazon.com/images/M/MV5BMDIzODcyY2EtMmY2MC00ZWVlLTgwMzAtMjQwOWUyNmJjNTYyXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UX128_CR0,12,128,176_AL_.jpg;Peter Weir (dir.), Jim Carrey, Ed Harris;8.2;1054890
142;tt0268978;143;A Beautiful Mind;A Beautiful Mind (2001);2001;https://m.media-amazon.com/images/M/MV5BMzcwYWFkYzktZjAzNC00OGY1LWI4YTgtNzc5MzVjMDVmNjY0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX128_CR0,12,128,176_AL_.jpg;Ron Howard (dir.), Russell Crowe, Ed Harris;8.2;920410
143;tt0071853;144;Monty Python and the Holy Grail;Monty Python and the Holy Grail (1975);1975;https://m.media-amazon.com/images/M/MV5BN2IyNTE4YzUtZWU0Mi00MGIwLTgyMmQtMzQ4YzQxYWNlYWE2XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX128_CR0,12,128,176_AL_.jpg;Terry Gilliam (dir.), Graham Chapman, John Cleese;8.2;536262
