;id;rank;title;fullTitle;year;image;crew;imDbRating;imDbRatingCount
16;tt0099685;17;Goodfellas;Goodfellas (1990);1990;https://m.media-amazon.com/images/M/MV5BY2NkZjEzMDgtN2RjYy00YzM1LWI4ZmQtMjIwYjFjNmI3ZGEwXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX128_CR0,12,128,176_AL_.jpg;Martin Scorsese (dir.), Robert De Niro, Ray Liotta;8.7;1136810
17;tt0073486;18;One Flew Over the Cuckoo's Nest;One Flew Over the Cuckoo's Nest (1975);1975;https://m.media-amazon.com/images/M/MV5BZjA0OWVhOTAtYWQxNi00YzNhLWI4ZjYtNjFjZTEyYjJlNDVlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX128_CR0,12,128,176_AL_.jpg;Milos Forman (dir.), Jack Nicholson, Louise Fletcher;8.6;993469
18;tt0114369;19;Se7en;Se7en (1995);1995;https://m.media-amazon.com/images/M/MV5BOTUwODM5MTctZjczMi00OTk4LTg3NWUtNmVhMTAzNTNjYjcyXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX128_CR0,12,128,176_AL_.jpg;David Fincher (dir.), Morgan Freeman, Brad Pitt;8.6;1612787
19;tt0047478;20;Seven Samurai;Seven Samurai (1954);1954;https://m.media-amazon.com/images/M/MV5BNWQ3OTM4ZGItMWEwZi00MjI5LWI3YzgtNTYwNWRkNmIzMGI5XkEyXkFqcGdeQXVyNDY2MTk1ODk@._V1_UX128_CR0,12,128,176_AL_.jpg;Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura;8.6;342320
20;tt0038650;21;It's a Wonderful Life;It's a Wonderful Life (1946);1946;https://m.media-amazon.com/images/M/MV5BZjc4NDZhZWMtNGEzYS00ZWU2LThlM2ItNTA0YzQ0OTExMTE2XkEyXkFqcGdeQXVyNjUwMzI2NzU@._V1_UX128_CR0,12,128,176_AL_.jpg;Frank Capra (dir.), James Stewart, Donna Reed;8.6;449592
21;tt0102926;22;The Silence of the Lambs;The Silence of the Lambs (1991);1991;https://m.media-amazon.com/images/M/MV5BNjNhZTk0ZmEtNjJhMi00YzFlLWE1MmEtYzM1M2ZmMGMwMTU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX128_CR0,12,128,176_AL_.jpg;Jonathan Demme (dir.), Jodie Foster, Anthony Hopkins;8.6;1403182
22;tt0317248;23;City of God;City of God (2002);2002;https://m.media-amazon.com/images/M/MV5BOTMwYjc5ZmItYTFjZC00ZGQ3LTlkNTMtMjZiNTZlMWQzNzI5XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX128_CR0,12,128,176_AL_.jpg;Fernando Meirelles (dir.), Alexandre Rodrigues, Leandro Firmino;8.6;747690
23;tt0120815;24;Saving Private Ryan;Saving Private Ryan (1998);1998;https://m.media-amazon.com/images/M/MV5BZjhkMDM4MWItZTVjOC00ZDRhLThmYTAtM2I5NzBmNmNlMzI1XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_UX128_CR0,12,128,176_AL_.jpg;Steven Spielberg (dir.), Tom Hanks, Matt Damon;8.6;1365063
24;tt0118799;25;Life Is Beautiful;Life Is Beautiful (1997);1997;https://m.media-amazon.com/images/M/MV5BYmJmM2Q4NmMtYThmNC00ZjRlLWEyZmItZTIwOTBlZDQ3NTQ1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX128_CR0,12,128,176_AL_.jpg;Roberto Benigni (dir.), Roberto Benigni, Nicoletta Braschi;8.6;683939
25;tt0120689;26;The Green Mile;The Green Mile (1999);1999;https://m.media-amazon.com/images/M/MV5BMTUxMzQyNjA5MF5BMl5BanBnXkFtZTYwOTU2NTY3._V1_UX128_CR0,12,128,176_AL_.jpg;Frank Darabont (dir.), Tom Hanks, Michael Clarke Duncan;8.6;1274875
26;tt0816692;27;Interstellar;Interstellar (2014);2014;https://m.media-amazon.com/images/M/MV5BZjdkOTU3MDktN2IxOS00OGEyLWFmMjktY2FiMmZkNWIyODZiXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX128_CR0,12,128,176_AL_.jpg;Christopher Nolan (dir.), Matthew McConaughey, Anne Hathaway;8.6;1766117
27;tt0076759;28;Star Wars;Star Wars (1977);1977;https://m.media-amazon.com/images/M/MV5BNzg4MjQxNTQtZmI5My00YjMwLWJlMjUtMmJlY2U2ZWFlNzY1XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_UX128_CR0,12,128,176_AL_.jpg;George Lucas (dir.), Mark Hamill, Harrison Ford;8.6;1342328
28;tt0103064;29;Terminator 2: Judgment Day;Terminator 2: Judgment Day (1991);1991;https://m.media-amazon.com/images/M/MV5BMGU2NzRmZjUtOGUxYS00ZjdjLWEwZWItY2NlM2JhNjkxNTFmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX128_CR0,12,128,176_AL_.jpg;James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton;8.5;1080663
29;tt0088763;30;Back to the Future;Back to the Future (1985);1985;https://m.media-amazon.com/images/M/MV5BZmU0M2Y1OGUtZjIxNi00ZjBkLTg1MjgtOWIyNThiZWIwYjRiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX128_CR0,12,128,176_AL_.jpg;Robert Zemeckis (dir.), Michael J. Fox, Christopher Lloyd;8.5;1178313
30;tt0245429;31;Spirited Away;Spirited Away (2001);2001;https://m.media-amazon.com/images/M/MV5BMjlmZmI5MDctNDE2YS00YWE0LWE5ZWItZDBhYWQ0NTcxNWRhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX128_CR0,12,128,176_AL_.jpg;Hayao Miyazaki (dir.), Daveigh Chase, Suzanne Pleshette;8.5;744931
31;tt0054215;32;Psycho;Psycho (1960);1960;https://m.media-amazon.com/images/M/MV5BNTQwNDM1YzItNDAxZC00NWY2LTk0M2UtNDIwNWI5OGUyNWUxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX128_CR0,12,128,176_AL_.jpg;Alfred Hitchcock (dir.), Anthony Perkins, Janet Leigh;8.5;661023
32;tt0253474;33;The Pianist;The Pianist (2002);2002;https://m.media-amazon.com/images/M/MV5BOWRiZDIxZjktMTA1NC00MDQ2LWEzMjUtMTliZmY3NjQ3ODJiXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX128_CR0,12,128,176_AL_.jpg;Roman Polanski (dir.), Adrien Brody, Thomas Kretschmann;8.5;815921
33;tt0110413;34;Léon: The Professional;Léon: The Professional (1994);1994;https://m.media-amazon.com/images/M/MV5BODllNWE0MmEtYjUwZi00ZjY3LThmNmQtZjZlMjI2YTZjYmQ0XkEyXkFqcGdeQXVyNTc1NTQxODI@._V1_UX128_CR0,12,128,176_AL_.jpg;Luc Besson (dir.), Jean Reno, Gary Oldman;8.5;1140487
34;tt6751668;35;Parasite;Parasite (2019);2019;https://m.media-amazon.com/images/M/MV5BYWZjMjk3ZTItODQ2ZC00NTY5LWE0ZDYtZTI3MjcwN2Q5NTVkXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_UX128_CR0,12,128,176_AL_.jpg;Bong Joon Ho (dir.), Song Kang-ho, Sun-kyun Lee;8.5;766118
35;tt0110357;36;The Lion King;The Lion King (1994);1994;https://m.media-amazon.com/images/M/MV5BYTYxNGMyZTYtMjE3MS00MzNjLWFjNmYtMDk3N2FmM2JiM2M1XkEyXkFqcGdeQXVyNjY5NDU4NzI@._V1_UX128_CR0,12,128,176_AL_.jpg;Roger Allers (dir.), Matthew Broderick, Jeremy Irons;8.5;1038792
36;tt0172495;37;Gladiator;Gladiator (2000);2000;https://m.media-amazon.com/images/M/MV5BMDliMmNhNDEtODUyOS00MjNlLTgxODEtN2U3NzIxMGVkZTA1L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX128_CR0,12,128,176_AL_.jpg;Ridley Scott (dir.), Russell Crowe, Joaquin Phoenix;8.5;1472248
37;tt0120586;38;American History X;American History X (1998);1998;https://m.media-amazon.com/images/M/MV5BZTJhN2FkYWEtMGI0My00YWM4LWI2MjAtM2UwNjY4MTI2ZTQyXkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_UX128_CR0,12,128,176_AL_.jpg;Tony Kaye (dir.), Edward Norton, Edward Furlong;8.5;1106900
38;tt0407887;39;The Departed;The Departed (2006);2006;https://m.media-amazon.com/images/M/MV5BMTI1MTY2OTIxNV5BMl5BanBnXkFtZTYwNjQ4NjY3._V1_UX128_CR0,12,128,176_AL_.jpg;Martin Scorsese (dir.), Leonardo DiCaprio, Matt Damon;8.5;1302431
39;tt0114814;40;The Usual Suspects;The Usual Suspects (1995);1995;https://m.media-amazon.com/images/M/MV5BYTViNjMyNmUtNDFkNC00ZDRlLThmMDUtZDU2YWE4NGI2ZjVmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX128_CR0,12,128,176_AL_.jpg;Bryan Singer (dir.), Kevin Spacey, Gabriel Byrne;8.5;1070544
40;tt0482571;41;The Prestige;The Prestige (2006);2006;https://m.media-amazon.com/images/M/MV5BMjA4NDI0MTIxNF5BMl5BanBnXkFtZTYwNTM0MzY2._V1_UX128_CR0,12,128,176_AL_.jpg;Christopher Nolan (dir.), Christian Bale, Hugh Jackman;8.5;1309322
41;tt0034583;42;Casablanca;Casablanca (1942);1942;https://m.media-amazon.com/images/M/MV5BY2IzZGY2YmEtYzljNS00NTM5LTgwMzUtMzM1NjQ4NGI0OTk0XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_UX128_CR0,12,128,176_AL_.jpg;Michael Curtiz (dir.), Humphrey Bogart, Ingrid Bergman;8.5;564918
42;tt2582802;43;Whiplash;Whiplash (2014);2014;https://m.media-amazon.com/images/M/MV5BOTA5NDZlZGUtMjAxOS00YTRkLTkwYmMtYWQ0NWEwZDZiNjEzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX128_CR0,12,128,176_AL_.jpg;Damien Chazelle (dir.), Miles Teller, J.K. Simmons;8.5;829544
43;tt1675434;44;The Intouchables;The Intouchables (2011);2011;https://m.media-amazon.com/images/M/MV5BMTYxNDA3MDQwNl5BMl5BanBnXkFtZTcwNTU4Mzc1Nw@@._V1_UX128_CR0,12,128,176_AL_.jpg;Olivier Nakache (dir.), François Cluzet, Omar Sy;8.5;842101
44;tt0056058;45;Harakiri;Harakiri (1962);1962;https://m.media-amazon.com/images/M/MV5BYjBmYTQ1NjItZWU5MS00YjI0LTg2OTYtYmFkN2JkMmNiNWVkXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_UX128_CR0,12,128,176_AL_.jpg;Masaki Kobayashi (dir.), Tatsuya Nakadai, Akira Ishihama;8.5;55497
45;tt0095327;46;Grave of the Fireflies;Grave of the Fireflies (1988);1988;https://m.media-amazon.com/images/M/MV5BZmY2NjUzNDQtNTgxNC00M2Q4LTljOWQtMjNjNDBjNWUxNmJlXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UX128_CR0,12,128,176_AL_.jpg;Isao Takahata (dir.), Tsutomu Tatsumi, Ayano Shiraishi;8.5;271631
46;tt0027977;47;Modern Times;Modern Times (1936);1936;https://m.media-amazon.com/images/M/MV5BYjJiZjMzYzktNjU0NS00OTkxLWEwYzItYzdhYWJjN2QzMTRlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX128_CR0,12,128,176_AL_.jpg;Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard;8.4;239796
