SITEID,Species,Number Captured,Minimum (mm),Maximum (mm),Project Name,Day,Month,Year,Waterbody Name,WaterbodyType,Start Latitude,Start Longitude,Air Temperature (C),Water Temperature (C),Turbidity (ntu)
5599,Notropis hudsonius,3,79,81,2013 Northern Madtom Survey of Lake St. Clair,22,4,2013,Lake St. Clair,Lake,42.46966,-82.43121,12.9,10.91,77.3
5599,Proterorhinus semilunaris,1,65,65,2013 Northern Madtom Survey of Lake St. Clair,22,4,2013,Lake St. Clair,Lake,42.46966,-82.43121,12.9,10.91,77.3
5599,Notropis hudsonius,1,75,85,2013 Northern Madtom Survey of Lake St. Clair,22,4,2013,Lake St. Clair,Lake,42.46966,-82.43121,12.9,10.91,77.3
5599,Percopsis omiscomaycus,3,94,105,2013 Northern Madtom Survey of Lake St. Clair,22,4,2013,Lake St. Clair,Lake,42.46966,-82.43121,12.9,10.91,77.3
5599,Notropis hudsonius,2,71,102,2013 Northern Madtom Survey of Lake St. Clair,22,4,2013,Lake St. Clair,Lake,42.46966,-82.43121,12.9,10.91,77.3
5600,Labidesthes sicculus,1,69,69,2013 Northern Madtom Survey of Lake St. Clair,22,4,2013,Lake St. Clair,Lake,42.47045,-82.43104,13.1,10.7,75.9
5600,Notropis hudsonius,1,98,98,2013 Northern Madtom Survey of Lake St. Clair,22,4,2013,Lake St. Clair,Lake,42.47045,-82.43104,13.1,10.7,75.9
5600,Proterorhinus semilunaris,1,66,66,2013 Northern Madtom Survey of Lake St. Clair,22,4,2013,Lake St. Clair,Lake,42.47045,-82.43104,13.1,10.7,75.9
5600,Notropis volucellus,1,37,37,2013 Northern Madtom Survey of Lake St. Clair,22,4,2013,Lake St. Clair,Lake,42.47045,-82.43104,13.1,10.7,75.9
5600,Noturus gyrinus,1,33,33,2013 Northern Madtom Survey of Lake St. Clair,22,4,2013,Lake St. Clair,Lake,42.47045,-82.43104,13.1,10.7,75.9
5600,Labidesthes sicculus,1,58,58,2013 Northern Madtom Survey of Lake St. Clair,22,4,2013,Lake St. Clair,Lake,42.47045,-82.43104,13.1,10.7,75.9
5601,Notropis hudsonius,2,62,93,2013 Northern Madtom Survey of Lake St. Clair,22,4,2013,Lake St. Clair,Lake,42.4721,-82.43082,13,11.24,90.2
5601,Notropis hudsonius,2,102,109,2013 Northern Madtom Survey of Lake St. Clair,22,4,2013,Lake St. Clair,Lake,42.4721,-82.43082,13,11.24,90.2
5601,Notropis hudsonius,3,67,78,2013 Northern Madtom Survey of Lake St. Clair,22,4,2013,Lake St. Clair,Lake,42.4721,-82.43082,13,11.24,90.2
5601,Notropis atherinoides,1,39,39,2013 Northern Madtom Survey of Lake St. Clair,22,4,2013,Lake St. Clair,Lake,42.4721,-82.43082,13,11.24,90.2
5602,Ictalurus punctatus,2,125,128,2013 Northern Madtom Survey of Lake St. Clair,23,4,2013,Lake St. Clair,Lake,42.3241,-82.45885,8.2,9.56,84.4
5602,Percopsis omiscomaycus,1,92,92,2013 Northern Madtom Survey of Lake St. Clair,23,4,2013,Lake St. Clair,Lake,42.3241,-82.45885,8.2,9.56,84.4
5602,Ictalurus punctatus,1,137,137,2013 Northern Madtom Survey of Lake St. Clair,23,4,2013,Lake St. Clair,Lake,42.3241,-82.45885,8.2,9.56,84.4
5602,Notropis hudsonius,1,95,95,2013 Northern Madtom Survey of Lake St. Clair,23,4,2013,Lake St. Clair,Lake,42.3241,-82.45885,8.2,9.56,84.4
5602,Percopsis omiscomaycus,1,80,80,2013 Northern Madtom Survey of Lake St. Clair,23,4,2013,Lake St. Clair,Lake,42.3241,-82.45885,8.2,9.56,84.4
5602,Ictalurus punctatus,1,360,360,2013 Northern Madtom Survey of Lake St. Clair,23,4,2013,Lake St. Clair,Lake,42.3241,-82.45885,8.2,9.56,84.4
5602,Notropis hudsonius,1,84,84,2013 Northern Madtom Survey of Lake St. Clair,23,4,2013,Lake St. Clair,Lake,42.3241,-82.45885,8.2,9.56,84.4
5603,Notropis hudsonius,1,105,105,2013 Northern Madtom Survey of Lake St. Clair,23,4,2013,Lake St. Clair,Lake,42.3233,-82.45667,8.2,9.57,69.6
5603,No fish captured,,,,2013 Northern Madtom Survey of Lake St. Clair,23,4,2013,Lake St. Clair,Lake,42.3233,-82.45667,8.2,9.57,69.6
5603,No fish captured,,,,2013 Northern Madtom Survey of Lake St. Clair,23,4,2013,Lake St. Clair,Lake,42.3233,-82.45667,8.2,9.57,69.6
5604,Notropis hudsonius,12,38,109,2013 Northern Madtom Survey of Lake St. Clair,23,4,2013,Lake St. Clair,Lake,42.32083,-82.48656,9.3,9.56,34.6
5604,Ambloplites rupestris,2,60,64,2013 Northern Madtom Survey of Lake St. Clair,23,4,2013,Lake St. Clair,Lake,42.32083,-82.48656,9.3,9.56,34.6
5604,Notropis volucellus,1,33,33,2013 Northern Madtom Survey of Lake St. Clair,23,4,2013,Lake St. Clair,Lake,42.32083,-82.48656,9.3,9.56,34.6
5604,Notropis hudsonius,26,42,81,2013 Northern Madtom Survey of Lake St. Clair,23,4,2013,Lake St. Clair,Lake,42.32083,-82.48656,9.3,9.56,34.6
5604,Morone americana,1,155,155,2013 Northern Madtom Survey of Lake St. Clair,23,4,2013,Lake St. Clair,Lake,42.32083,-82.48656,9.3,9.56,34.6
5604,Neogobius melanostomus,8,28,55,2013 Northern Madtom Survey of Lake St. Clair,23,4,2013,Lake St. Clair,Lake,42.32083,-82.48656,9.3,9.56,34.6
5604,Notropis hudsonius,17,66,94,2013 Northern Madtom Survey of Lake St. Clair,23,4,2013,Lake St. Clair,Lake,42.32083,-82.48656,9.3,9.56,34.6
5604,Neogobius melanostomus,1,36,36,2013 Northern Madtom Survey of Lake St. Clair,23,4,2013,Lake St. Clair,Lake,42.32083,-82.48656,9.3,9.56,34.6
5609,Micropterus salmoides,1,193,193,2013 Grass Pickerel Niagara Drains,14,5,2013,Beaver Creek,Stream,42.90361,-79.05489,11.2,9.17,5.3
5609,Lepomis gibbosus,3,39,130,2013 Grass Pickerel Niagara Drains,14,5,2013,Beaver Creek,Stream,42.90361,-79.05489,11.2,9.17,5.3
5609,Lepomis macrochirus,1,29,126,2013 Grass Pickerel Niagara Drains,14,5,2013,Beaver Creek,Stream,42.90361,-79.05489,11.2,9.17,5.3
5609,Lepomis macrochirus,2,29,126,2013 Grass Pickerel Niagara Drains,14,5,2013,Beaver Creek,Stream,42.90361,-79.05489,11.2,9.17,5.3
5609,Lepomis cyanellus,1,38,90,2013 Grass Pickerel Niagara Drains,14,5,2013,Beaver Creek,Stream,42.90361,-79.05489,11.2,9.17,5.3
5609,Esox americanus vermiculatus,1,59,59,2013 Grass Pickerel Niagara Drains,14,5,2013,Beaver Creek,Stream,42.90361,-79.05489,11.2,9.17,5.3
5609,Lepomis gibbosus,5,39,130,2013 Grass Pickerel Niagara Drains,14,5,2013,Beaver Creek,Stream,42.90361,-79.05489,11.2,9.17,5.3
5609,Lepomis macrochirus,1,29,126,2013 Grass Pickerel Niagara Drains,14,5,2013,Beaver Creek,Stream,42.90361,-79.05489,11.2,9.17,5.3
5609,Lepomis cyanellus,1,38,90,2013 Grass Pickerel Niagara Drains,14,5,2013,Beaver Creek,Stream,42.90361,-79.05489,11.2,9.17,5.3
5610,Notropis atherinoides,80,58,74,2013 Grass Pickerel Niagara Drains,16,5,2013,Beaver Creek,Stream,42.93301,-79.02788,21.3,14.24,15
5610,Notemigonus crysoleucas,5,71,84,2013 Grass Pickerel Niagara Drains,16,5,2013,Beaver Creek,Stream,42.93301,-79.02788,21.3,14.24,15
5610,Lepomis cyanellus,3,81,110,2013 Grass Pickerel Niagara Drains,16,5,2013,Beaver Creek,Stream,42.93301,-79.02788,21.3,14.24,15
5610,Lepomis gibbosus,1,35,120,2013 Grass Pickerel Niagara Drains,16,5,2013,Beaver Creek,Stream,42.93301,-79.02788,21.3,14.24,15
5610,Esox sp,2,24,25,2013 Grass Pickerel Niagara Drains,16,5,2013,Beaver Creek,Stream,42.93301,-79.02788,21.3,14.24,15
5610,Notropis atherinoides,70,58,74,2013 Grass Pickerel Niagara Drains,16,5,2013,Beaver Creek,Stream,42.93301,-79.02788,21.3,14.24,15
5610,Lepomis gibbosus,3,35,120,2013 Grass Pickerel Niagara Drains,16,5,2013,Beaver Creek,Stream,42.93301,-79.02788,21.3,14.24,15
5610,Esox americanus vermiculatus,1,207,207,2013 Grass Pickerel Niagara Drains,16,5,2013,Beaver Creek,Stream,42.93301,-79.02788,21.3,14.24,15
5610,Catostomus commersonii,1,124,125,2013 Grass Pickerel Niagara Drains,16,5,2013,Beaver Creek,Stream,42.93301,-79.02788,21.3,14.24,15
5610,Notropis atherinoides,40,58,74,2013 Grass Pickerel Niagara Drains,16,5,2013,Beaver Creek,Stream,42.93301,-79.02788,21.3,14.24,15
5610,Notemigonus crysoleucas,3,71,84,2013 Grass Pickerel Niagara Drains,16,5,2013,Beaver Creek,Stream,42.93301,-79.02788,21.3,14.24,15
5610,Lepomis gibbosus,4,35,120,2013 Grass Pickerel Niagara Drains,16,5,2013,Beaver Creek,Stream,42.93301,-79.02788,21.3,14.24,15
5610,Catostomus commersonii,1,124,125,2013 Grass Pickerel Niagara Drains,16,5,2013,Beaver Creek,Stream,42.93301,-79.02788,21.3,14.24,15
5611,Lepomis cyanellus,80,42,91,2013 Grass Pickerel Niagara Drains,16,5,2013,Beaver Creek,Stream,42.9086,-79.08001,25.1,13.1,70.7
5611,Notropis atherinoides,2,,70,2013 Grass Pickerel Niagara Drains,16,5,2013,Beaver Creek,Stream,42.9086,-79.08001,25.1,13.1,70.7
5611,Lepomis gibbosus,10,86,110,2013 Grass Pickerel Niagara Drains,16,5,2013,Beaver Creek,Stream,42.9086,-79.08001,25.1,13.1,70.7
5611,Lepomis cyanellus,5,42,91,2013 Grass Pickerel Niagara Drains,16,5,2013,Beaver Creek,Stream,42.9086,-79.08001,25.1,13.1,70.7
5611,Lepomis gibbosus,1,86,110,2013 Grass Pickerel Niagara Drains,16,5,2013,Beaver Creek,Stream,42.9086,-79.08001,25.1,13.1,70.7
5611,Pimephales notatus,1,,,2013 Grass Pickerel Niagara Drains,16,5,2013,Beaver Creek,Stream,42.9086,-79.08001,25.1,13.1,70.7
5611,Notemigonus crysoleucas,1,67,67,2013 Grass Pickerel Niagara Drains,16,5,2013,Beaver Creek,Stream,42.9086,-79.08001,25.1,13.1,70.7
5611,Lepomis cyanellus,5,42,91,2013 Grass Pickerel Niagara Drains,16,5,2013,Beaver Creek,Stream,42.9086,-79.08001,25.1,13.1,70.7
5611,Catostomus commersonii,2,100,102,2013 Grass Pickerel Niagara Drains,16,5,2013,Beaver Creek,Stream,42.9086,-79.08001,25.1,13.1,70.7
5612,Pimephales notatus,51,42,67,2013 Grass Pickerel Niagara Drains,28,5,2013,Beaver Creek,Stream,42.90236,-79.08955,14.4,13.5,95.4
5612,Lepomis cyanellus,15,58,109,2013 Grass Pickerel Niagara Drains,28,5,2013,Beaver Creek,Stream,42.90236,-79.08955,14.4,13.5,95.4
5612,Catostomus commersonii,3,99,145,2013 Grass Pickerel Niagara Drains,28,5,2013,Beaver Creek,Stream,42.90236,-79.08955,14.4,13.5,95.4
5612,Etheostoma nigrum,5,51,57,2013 Grass Pickerel Niagara Drains,28,5,2013,Beaver Creek,Stream,42.90236,-79.08955,14.4,13.5,95.4
5612,Lepomis gibbosus,7,51,107,2013 Grass Pickerel Niagara Drains,28,5,2013,Beaver Creek,Stream,42.90236,-79.08955,14.4,13.5,95.4
5612,Notemigonus crysoleucas,1,43,120,2013 Grass Pickerel Niagara Drains,28,5,2013,Beaver Creek,Stream,42.90236,-79.08955,14.4,13.5,95.4
5612,Lepomis macrochirus,2,41,104,2013 Grass Pickerel Niagara Drains,28,5,2013,Beaver Creek,Stream,42.90236,-79.08955,14.4,13.5,95.4
5612,Pimephales notatus,15,42,67,2013 Grass Pickerel Niagara Drains,28,5,2013,Beaver Creek,Stream,42.90236,-79.08955,14.4,13.5,95.4
5612,Lepomis cyanellus,8,58,109,2013 Grass Pickerel Niagara Drains,28,5,2013,Beaver Creek,Stream,42.90236,-79.08955,14.4,13.5,95.4
5612,Catostomus commersonii,44,99,145,2013 Grass Pickerel Niagara Drains,28,5,2013,Beaver Creek,Stream,42.90236,-79.08955,14.4,13.5,95.4
5612,Etheostoma nigrum,1,51,57,2013 Grass Pickerel Niagara Drains,28,5,2013,Beaver Creek,Stream,42.90236,-79.08955,14.4,13.5,95.4
5612,Lepomis gibbosus,2,51,107,2013 Grass Pickerel Niagara Drains,28,5,2013,Beaver Creek,Stream,42.90236,-79.08955,14.4,13.5,95.4
5612,Ameiurus nebulosus,6,141,211,2013 Grass Pickerel Niagara Drains,28,5,2013,Beaver Creek,Stream,42.90236,-79.08955,14.4,13.5,95.4
5612,Lepomis sp,1,,,2013 Grass Pickerel Niagara Drains,28,5,2013,Beaver Creek,Stream,42.90236,-79.08955,14.4,13.5,95.4
5612,Notemigonus crysoleucas,2,43,120,2013 Grass Pickerel Niagara Drains,28,5,2013,Beaver Creek,Stream,42.90236,-79.08955,14.4,13.5,95.4
5612,Pimephales notatus,42,42,67,2013 Grass Pickerel Niagara Drains,28,5,2013,Beaver Creek,Stream,42.90236,-79.08955,14.4,13.5,95.4
5612,Lepomis cyanellus,4,58,109,2013 Grass Pickerel Niagara Drains,28,5,2013,Beaver Creek,Stream,42.90236,-79.08955,14.4,13.5,95.4
5612,Catostomus commersonii,1,99,145,2013 Grass Pickerel Niagara Drains,28,5,2013,Beaver Creek,Stream,42.90236,-79.08955,14.4,13.5,95.4
5612,Lepomis gibbosus,2,51,107,2013 Grass Pickerel Niagara Drains,28,5,2013,Beaver Creek,Stream,42.90236,-79.08955,14.4,13.5,95.4
5612,Notemigonus crysoleucas,74,43,120,2013 Grass Pickerel Niagara Drains,28,5,2013,Beaver Creek,Stream,42.90236,-79.08955,14.4,13.5,95.4
5612,Lepomis macrochirus,5,41,104,2013 Grass Pickerel Niagara Drains,28,5,2013,Beaver Creek,Stream,42.90236,-79.08955,14.4,13.5,95.4
5612,Ameiurus nebulosus,2,141,211,2013 Grass Pickerel Niagara Drains,28,5,2013,Beaver Creek,Stream,42.90236,-79.08955,14.4,13.5,95.4
5612,Notropis atherinoides,12,59,71,2013 Grass Pickerel Niagara Drains,28,5,2013,Beaver Creek,Stream,42.90236,-79.08955,14.4,13.5,95.4
5613,Esox americanus vermiculatus,3,188,201,2013 Grass Pickerel Niagara Drains,28,5,2013,Beaver Creek,Stream,42.91072,-79.05151,17.2,13.3,38.1
5613,Lepomis macrochirus,1,128,174,2013 Grass Pickerel Niagara Drains,28,5,2013,Beaver Creek,Stream,42.91072,-79.05151,17.2,13.3,38.1
5613,Lepomis cyanellus,3,71,138,2013 Grass Pickerel Niagara Drains,28,5,2013,Beaver Creek,Stream,42.91072,-79.05151,17.2,13.3,38.1
5613,Ameiurus nebulosus,1,121,198,2013 Grass Pickerel Niagara Drains,28,5,2013,Beaver Creek,Stream,42.91072,-79.05151,17.2,13.3,38.1
5613,Notemigonus crysoleucas,11,,110,2013 Grass Pickerel Niagara Drains,28,5,2013,Beaver Creek,Stream,42.91072,-79.05151,17.2,13.3,38.1
5613,Notropis atherinoides,6,39,79,2013 Grass Pickerel Niagara Drains,28,5,2013,Beaver Creek,Stream,42.91072,-79.05151,17.2,13.3,38.1
5613,Catostomus commersonii,1,139,139,2013 Grass Pickerel Niagara Drains,28,5,2013,Beaver Creek,Stream,42.91072,-79.05151,17.2,13.3,38.1
5613,Esox americanus vermiculatus,2,170,211,2013 Grass Pickerel Niagara Drains,28,5,2013,Beaver Creek,Stream,42.91072,-79.05151,17.2,13.3,38.1
5613,Lepomis macrochirus,1,128,174,2013 Grass Pickerel Niagara Drains,28,5,2013,Beaver Creek,Stream,42.91072,-79.05151,17.2,13.3,38.1
5613,Lepomis gibbosus,2,160,,2013 Grass Pickerel Niagara Drains,28,5,2013,Beaver Creek,Stream,42.91072,-79.05151,17.2,13.3,38.1
5613,Lepomis cyanellus,1,71,138,2013 Grass Pickerel Niagara Drains,28,5,2013,Beaver Creek,Stream,42.91072,-79.05151,17.2,13.3,38.1
5613,Ameiurus nebulosus,1,121,198,2013 Grass Pickerel Niagara Drains,28,5,2013,Beaver Creek,Stream,42.91072,-79.05151,17.2,13.3,38.1
5614,Lepomis cyanellus,6,35,60,2013 Grass Pickerel Niagara Drains,27,5,2013,Beaver Creek,Stream,42.90321,-79.08893,22.3,21.11,106.8
5614,Ameiurus nebulosus,4,74,180,2013 Grass Pickerel Niagara Drains,27,5,2013,Beaver Creek,Stream,42.90321,-79.08893,22.3,21.11,106.8
5614,Notropis atherinoides,2,64,,2013 Grass Pickerel Niagara Drains,27,5,2013,Beaver Creek,Stream,42.90321,-79.08893,22.3,21.11,106.8
5614,Lepomis gibbosus,2,86,105,2013 Grass Pickerel Niagara Drains,27,5,2013,Beaver Creek,Stream,42.90321,-79.08893,22.3,21.11,106.8
5614,Lepomis macrochirus,1,44,44,2013 Grass Pickerel Niagara Drains,27,5,2013,Beaver Creek,Stream,42.90321,-79.08893,22.3,21.11,106.8
5614,Catostomus commersonii,2,70,119,2013 Grass Pickerel Niagara Drains,27,5,2013,Beaver Creek,Stream,42.90321,-79.08893,22.3,21.11,106.8
5614,Lepomis cyanellus,2,,,2013 Grass Pickerel Niagara Drains,27,5,2013,Beaver Creek,Stream,42.90321,-79.08893,22.3,21.11,106.8
5615,Notemigonus crysoleucas,1,61,107,2013 Grass Pickerel Niagara Drains,27,5,2013,Beaver Creek,Stream,42.90465,-79.0881,17.3,16.25,32.7
5615,Lepomis gibbosus,1,,,2013 Grass Pickerel Niagara Drains,27,5,2013,Beaver Creek,Stream,42.90465,-79.0881,17.3,16.25,32.7
5615,Lepomis cyanellus,3,43,87,2013 Grass Pickerel Niagara Drains,27,5,2013,Beaver Creek,Stream,42.90465,-79.0881,17.3,16.25,32.7
5615,Lepomis macrochirus,5,55,,2013 Grass Pickerel Niagara Drains,27,5,2013,Beaver Creek,Stream,42.90465,-79.0881,17.3,16.25,32.7
5615,Lepomis sp,5,41,46,2013 Grass Pickerel Niagara Drains,27,5,2013,Beaver Creek,Stream,42.90465,-79.0881,17.3,16.25,32.7
5615,Etheostoma nigrum,2,57,58,2013 Grass Pickerel Niagara Drains,27,5,2013,Beaver Creek,Stream,42.90465,-79.0881,17.3,16.25,32.7
5615,Notemigonus crysoleucas,2,61,107,2013 Grass Pickerel Niagara Drains,27,5,2013,Beaver Creek,Stream,42.90465,-79.0881,17.3,16.25,32.7
5615,Lepomis cyanellus,1,43,87,2013 Grass Pickerel Niagara Drains,27,5,2013,Beaver Creek,Stream,42.90465,-79.0881,17.3,16.25,32.7
5615,Lepomis sp,2,41,46,2013 Grass Pickerel Niagara Drains,27,5,2013,Beaver Creek,Stream,42.90465,-79.0881,17.3,16.25,32.7
5615,Noturus gyrinus,3,59,66,2013 Grass Pickerel Niagara Drains,27,5,2013,Beaver Creek,Stream,42.90465,-79.0881,17.3,16.25,32.7
5615,Pimephales notatus,2,41,57,2013 Grass Pickerel Niagara Drains,27,5,2013,Beaver Creek,Stream,42.90465,-79.0881,17.3,16.25,32.7
5615,Catostomus commersonii,10,141,,2013 Grass Pickerel Niagara Drains,27,5,2013,Beaver Creek,Stream,42.90465,-79.0881,17.3,16.25,32.7
5615,Notemigonus crysoleucas,11,61,107,2013 Grass Pickerel Niagara Drains,27,5,2013,Beaver Creek,Stream,42.90465,-79.0881,17.3,16.25,32.7
5615,Micropterus salmoides,1,169,169,2013 Grass Pickerel Niagara Drains,27,5,2013,Beaver Creek,Stream,42.90465,-79.0881,17.3,16.25,32.7
5615,Esox americanus vermiculatus,2,185,210,2013 Grass Pickerel Niagara Drains,27,5,2013,Beaver Creek,Stream,42.90465,-79.0881,17.3,16.25,32.7
5615,Notropis atherinoides,5,64,,2013 Grass Pickerel Niagara Drains,27,5,2013,Beaver Creek,Stream,42.90465,-79.0881,17.3,16.25,32.7
5615,Lepomis gibbosus,4,,,2013 Grass Pickerel Niagara Drains,27,5,2013,Beaver Creek,Stream,42.90465,-79.0881,17.3,16.25,32.7
5615,Lepomis cyanellus,2,43,87,2013 Grass Pickerel Niagara Drains,27,5,2013,Beaver Creek,Stream,42.90465,-79.0881,17.3,16.25,32.7
5615,Ameiurus nebulosus,1,249,249,2013 Grass Pickerel Niagara Drains,27,5,2013,Beaver Creek,Stream,42.90465,-79.0881,17.3,16.25,32.7
5615,Cyprinus carpio,1,176,176,2013 Grass Pickerel Niagara Drains,27,5,2013,Beaver Creek,Stream,42.90465,-79.0881,17.3,16.25,32.7
5615,Lepomis macrochirus,1,,55,2013 Grass Pickerel Niagara Drains,27,5,2013,Beaver Creek,Stream,42.90465,-79.0881,17.3,16.25,32.7
5616,Notemigonus crysoleucas,10,56,100,2013 Grass Pickerel Niagara Drains,27,5,2013,Beaver Creek,Stream,42.9053,-79.0872,27.9,14.08,88
5616,Ameiurus nebulosus,9,139,190,2013 Grass Pickerel Niagara Drains,27,5,2013,Beaver Creek,Stream,42.9053,-79.0872,27.9,14.08,88
5616,Esox americanus vermiculatus,1,179,179,2013 Grass Pickerel Niagara Drains,27,5,2013,Beaver Creek,Stream,42.9053,-79.0872,27.9,14.08,88
5616,Catostomus commersonii,2,110,128,2013 Grass Pickerel Niagara Drains,27,5,2013,Beaver Creek,Stream,42.9053,-79.0872,27.9,14.08,88
5616,Notropis atherinoides,3,50,65,2013 Grass Pickerel Niagara Drains,27,5,2013,Beaver Creek,Stream,42.9053,-79.0872,27.9,14.08,88
5616,Notemigonus crysoleucas,4,56,100,2013 Grass Pickerel Niagara Drains,27,5,2013,Beaver Creek,Stream,42.9053,-79.0872,27.9,14.08,88
5616,Lepomis gibbosus,4,57,110,2013 Grass Pickerel Niagara Drains,27,5,2013,Beaver Creek,Stream,42.9053,-79.0872,27.9,14.08,88
5616,Notemigonus crysoleucas,2,56,100,2013 Grass Pickerel Niagara Drains,27,5,2013,Beaver Creek,Stream,42.9053,-79.0872,27.9,14.08,88
5616,Cyprinus carpio,1,560,560,2013 Grass Pickerel Niagara Drains,27,5,2013,Beaver Creek,Stream,42.9053,-79.0872,27.9,14.08,88
5616,Lepomis gibbosus,2,57,110,2013 Grass Pickerel Niagara Drains,27,5,2013,Beaver Creek,Stream,42.9053,-79.0872,27.9,14.08,88
5617,Lepomis macrochirus,2,37,121,2013 Grass Pickerel Niagara Drains,27,5,2013,Beaver Creek,Stream,42.9067,-79.08623,19.6,13.49,69.4
5617,Notemigonus crysoleucas,22,67,108,2013 Grass Pickerel Niagara Drains,27,5,2013,Beaver Creek,Stream,42.9067,-79.08623,19.6,13.49,69.4
5617,Notropis atherinoides,8,,65,2013 Grass Pickerel Niagara Drains,27,5,2013,Beaver Creek,Stream,42.9067,-79.08623,19.6,13.49,69.4
5617,Lepomis cyanellus,2,93,125,2013 Grass Pickerel Niagara Drains,27,5,2013,Beaver Creek,Stream,42.9067,-79.08623,19.6,13.49,69.4
5617,Catostomus commersonii,6,95,342,2013 Grass Pickerel Niagara Drains,27,5,2013,Beaver Creek,Stream,42.9067,-79.08623,19.6,13.49,69.4
5617,Lepomis gibbosus,1,54,70,2013 Grass Pickerel Niagara Drains,27,5,2013,Beaver Creek,Stream,42.9067,-79.08623,19.6,13.49,69.4
5617,Pimephales notatus,1,52,52,2013 Grass Pickerel Niagara Drains,27,5,2013,Beaver Creek,Stream,42.9067,-79.08623,19.6,13.49,69.4
5617,Cyprinus carpio,1,490,490,2013 Grass Pickerel Niagara Drains,27,5,2013,Beaver Creek,Stream,42.9067,-79.08623,19.6,13.49,69.4
5617,Lepomis macrochirus,1,37,121,2013 Grass Pickerel Niagara Drains,27,5,2013,Beaver Creek,Stream,42.9067,-79.08623,19.6,13.49,69.4
5617,Notemigonus crysoleucas,17,67,108,2013 Grass Pickerel Niagara Drains,27,5,2013,Beaver Creek,Stream,42.9067,-79.08623,19.6,13.49,69.4
5617,Notropis atherinoides,4,,65,2013 Grass Pickerel Niagara Drains,27,5,2013,Beaver Creek,Stream,42.9067,-79.08623,19.6,13.49,69.4
5617,Lepomis cyanellus,1,93,125,2013 Grass Pickerel Niagara Drains,27,5,2013,Beaver Creek,Stream,42.9067,-79.08623,19.6,13.49,69.4
5617,Catostomus commersonii,7,95,342,2013 Grass Pickerel Niagara Drains,27,5,2013,Beaver Creek,Stream,42.9067,-79.08623,19.6,13.49,69.4
5617,Lepomis gibbosus,2,54,70,2013 Grass Pickerel Niagara Drains,27,5,2013,Beaver Creek,Stream,42.9067,-79.08623,19.6,13.49,69.4
5617,Esox americanus vermiculatus,2,199,232,2013 Grass Pickerel Niagara Drains,27,5,2013,Beaver Creek,Stream,42.9067,-79.08623,19.6,13.49,69.4
5617,Ameiurus nebulosus,1,147,214,2013 Grass Pickerel Niagara Drains,27,5,2013,Beaver Creek,Stream,42.9067,-79.08623,19.6,13.49,69.4
5617,Notemigonus crysoleucas,7,67,108,2013 Grass Pickerel Niagara Drains,27,5,2013,Beaver Creek,Stream,42.9067,-79.08623,19.6,13.49,69.4
5617,Notropis atherinoides,4,,65,2013 Grass Pickerel Niagara Drains,27,5,2013,Beaver Creek,Stream,42.9067,-79.08623,19.6,13.49,69.4
5617,Catostomus commersonii,10,95,342,2013 Grass Pickerel Niagara Drains,27,5,2013,Beaver Creek,Stream,42.9067,-79.08623,19.6,13.49,69.4
5617,Ameiurus nebulosus,4,147,214,2013 Grass Pickerel Niagara Drains,27,5,2013,Beaver Creek,Stream,42.9067,-79.08623,19.6,13.49,69.4
5617,Micropterus salmoides,1,170,170,2013 Grass Pickerel Niagara Drains,27,5,2013,Beaver Creek,Stream,42.9067,-79.08623,19.6,13.49,69.4
5617,Lepomis sp,1,34,34,2013 Grass Pickerel Niagara Drains,27,5,2013,Beaver Creek,Stream,42.9067,-79.08623,19.6,13.49,69.4
5618,Notemigonus crysoleucas,12,105,126,2013 Grass Pickerel Niagara Drains,24,5,2013,Beaver Creek,Stream,42.91933,-79.05389,6.8,14.4,24.6
5618,Lepomis gibbosus,14,67,88,2013 Grass Pickerel Niagara Drains,24,5,2013,Beaver Creek,Stream,42.91933,-79.05389,6.8,14.4,24.6
5618,Notropis atherinoides,41,54,72,2013 Grass Pickerel Niagara Drains,24,5,2013,Beaver Creek,Stream,42.91933,-79.05389,6.8,14.4,24.6
5618,Catostomus commersonii,12,114,227,2013 Grass Pickerel Niagara Drains,24,5,2013,Beaver Creek,Stream,42.91933,-79.05389,6.8,14.4,24.6
5618,Esox americanus vermiculatus,6,68,227,2013 Grass Pickerel Niagara Drains,24,5,2013,Beaver Creek,Stream,42.91933,-79.05389,6.8,14.4,24.6
5618,Esox sp,5,35,46,2013 Grass Pickerel Niagara Drains,24,5,2013,Beaver Creek,Stream,42.91933,-79.05389,6.8,14.4,24.6
5618,Lepomis macrochirus,5,67,140,2013 Grass Pickerel Niagara Drains,24,5,2013,Beaver Creek,Stream,42.91933,-79.05389,6.8,14.4,24.6
5618,Perca flavescens,1,146,146,2013 Grass Pickerel Niagara Drains,24,5,2013,Beaver Creek,Stream,42.91933,-79.05389,6.8,14.4,24.6
5618,Micropterus salmoides,1,81,81,2013 Grass Pickerel Niagara Drains,24,5,2013,Beaver Creek,Stream,42.91933,-79.05389,6.8,14.4,24.6
5618,Lepomis cyanellus,1,131,131,2013 Grass Pickerel Niagara Drains,24,5,2013,Beaver Creek,Stream,42.91933,-79.05389,6.8,14.4,24.6
5618,Cyprinus carpio,1,609,609,2013 Grass Pickerel Niagara Drains,24,5,2013,Beaver Creek,Stream,42.91933,-79.05389,6.8,14.4,24.6
