,0,1
0,34.51666667,69.183333
1,60.116667,19.9
2,41.31666667,19.816667
3,36.75,3.05
4,-14.26666667,-170.7
5,42.5,1.516667
6,-8.833333333,13.216667
7,18.21666667,-63.05
8,0.0,0.0
9,17.11666667,-61.85
10,-34.58333333,-58.666667
11,40.16666667,44.5
12,12.51666667,-70.033333
13,-35.26666667,149.133333
14,48.2,16.366667
15,40.38333333,49.866667
16,25.08333333,-77.35
17,26.23333333,50.566667
18,23.71666667,90.4
19,13.1,-59.616667
20,53.9,27.566667
21,50.83333333,4.333333
22,17.25,-88.766667
23,6.483333333,2.616667
24,32.28333333,-64.783333
25,27.46666667,89.633333
26,-16.5,-68.15
27,43.86666667,18.416667
28,-24.63333333,25.9
29,-15.78333333,-47.916667
30,-7.3,72.4
31,18.41666667,-64.616667
32,4.883333333,114.933333
33,42.68333333,23.316667
34,12.36666667,-1.516667
35,-3.366666667,29.35
36,11.55,104.916667
37,3.866666667,11.516667
38,45.41666667,-75.7
39,14.91666667,-23.516667
40,19.3,-81.383333
41,4.366666667,18.583333
42,12.1,15.033333
43,-33.45,-70.666667
44,39.91666667,116.383333
45,-10.41666667,105.716667
46,-12.16666667,96.833333
47,4.6,-74.083333
48,-11.7,43.233333
49,-21.2,-159.766667
50,9.933333333,-84.083333
51,6.816666667,-5.266667
52,45.8,16.0
53,23.11666667,-82.35
54,12.1,-68.916667
55,35.16666667,33.366667
56,50.08333333,14.466667
57,-4.316666667,15.3
58,55.66666667,12.583333
59,11.58333333,43.15
60,15.3,-61.4
61,18.46666667,-69.9
62,-0.216666667,-78.5
63,30.05,31.25
64,13.7,-89.2
65,3.75,8.783333
66,15.33333333,38.933333
67,59.43333333,24.716667
68,9.033333333,38.7
69,-51.7,-57.85
70,62.0,-6.766667
71,6.916666667,158.15
72,-18.13333333,178.416667
73,60.16666667,24.933333
74,48.86666667,2.333333
75,-17.53333333,-149.566667
76,-49.35,70.216667
77,0.383333333,9.45
78,41.68333333,44.833333
79,52.51666667,13.4
80,5.55,-0.216667
81,36.13333333,-5.35
82,37.98333333,23.733333
83,64.18333333,-51.75
84,12.05,-61.75
85,13.46666667,144.733333
86,14.61666667,-90.516667
87,49.45,-2.533333
88,9.5,-13.7
89,11.85,-15.583333
90,6.8,-58.15
91,18.53333333,-72.333333
92,0.0,0.0
93,14.1,-87.216667
94,0.0,0.0
95,47.5,19.083333
96,64.15,-21.95
97,28.6,77.2
98,-6.166666667,106.816667
99,35.7,51.416667
100,33.33333333,44.4
101,53.31666667,-6.233333
102,54.15,-4.483333
103,31.76666667,35.233333
104,41.9,12.483333
105,18.0,-76.8
106,35.68333333,139.75
107,49.18333333,-2.1
108,31.95,35.933333
109,51.16666667,71.416667
110,-1.283333333,36.816667
111,-0.883333333,169.533333
112,42.66666667,21.166667
113,29.36666667,47.966667
114,42.86666667,74.6
115,17.96666667,102.6
116,56.95,24.1
117,33.86666667,35.5
118,-29.31666667,27.483333
119,6.3,-10.8
120,32.88333333,13.166667
121,47.13333333,9.516667
122,54.68333333,25.316667
123,49.6,6.116667
124,0.0,0.0
125,42.0,21.433333
126,-18.91666667,47.516667
127,-13.96666667,33.783333
128,3.166666667,101.7
129,4.166666667,73.5
130,12.65,-8.0
131,35.88333333,14.5
132,7.1,171.383333
133,18.06666667,-15.966667
134,-20.15,57.483333
135,19.43333333,-99.133333
136,47.0,28.85
137,43.73333333,7.416667
138,47.91666667,106.916667
